sample_idx,lambda,num_think_tokens,kept_tokens,dropped_tokens,skip_reason,occupancy@1,occupancy@2,occupancy@3,occupancy@4,occupancy@5
48,0.01,524,183,341,,0.8706467661691543,0.8009950248756219,0.7927031509121057,0.7922885572139303,0.7960199004975125
49,0.01,838,393,445,,0.96,0.915,0.8799999999999996,0.8775,0.8830000000000006
50,0.01,2,,,truncated_max_new_tokens,,,,,
51,0.01,725,719,6,,0.9849056603773585,0.9792452830188679,0.9748427672955972,0.970754716981132,0.9622641509433969
52,0.01,753,488,265,,0.9645669291338582,0.9251968503937008,0.9107611548556424,0.9124015748031497,0.9000000000000016
53,0.01,431,372,59,,0.9567901234567902,0.9012345679012346,0.917695473251029,0.9274691358024691,0.9086419753086421
54,0.01,1774,1012,762,,0.9368932038834952,0.9101941747572816,0.8899676375404522,0.9004854368932039,0.8961165048543696
55,0.01,805,489,316,,0.9262672811059908,0.8986175115207373,0.9016897081413207,0.8824884792626728,0.8875576036866366
56,0.01,410,249,161,,0.920863309352518,0.7949640287769785,0.7625899280575543,0.7697841726618705,0.7812949640287759
57,0.01,734,198,536,,0.9590443686006825,0.8771331058020477,0.8703071672354937,0.8677474402730375,0.8627986348122889
58,0.01,1386,1141,245,,0.9446808510638298,0.9234042553191489,0.9035460992907794,0.9074468085106383,0.9012765957446817
59,0.01,2,,,truncated_max_new_tokens,,,,,
60,0.01,1337,717,620,,0.930327868852459,0.8995901639344263,0.8879781420765017,0.8729508196721312,0.868032786885247
61,0.01,804,175,629,,0.9166666666666666,0.8218390804597702,0.7883141762452095,0.7880747126436781,0.7810344827586225
62,0.01,809,493,316,,0.9454545454545454,0.9072727272727272,0.8909090909090901,0.91,0.9054545454545466
63,0.01,1889,1044,845,,0.74,0.6683333333333333,0.6299999999999993,0.6416666666666667,0.6313333333333333
64,0.01,556,547,9,,0.990228013029316,0.9641693811074918,0.9663409337676441,0.9682410423452769,0.9596091205211734
65,0.01,992,861,131,,0.9226190476190477,0.8988095238095238,0.8968253968253967,0.8824404761904762,0.888095238095238
66,0.01,1387,1026,361,,0.9411764705882353,0.9073529411764706,0.9058823529411771,0.8904411764705882,0.8958823529411784
67,0.01,5104,4610,494,,0.9281609195402298,0.9224137931034483,0.888888888888889,0.8843390804597702,0.8879310344827609
68,0.01,772,627,145,,0.985207100591716,0.9378698224852071,0.9289940828402367,0.9127218934911243,0.9159763313609487
69,0.01,381,343,38,,0.9539473684210527,0.9407894736842105,0.9122807017543867,0.9095394736842105,0.9197368421052625
70,0.01,549,423,126,,0.9655172413793104,0.9568965517241379,0.9272030651340996,0.9410919540229885,0.9287356321839082
71,0.01,463,106,357,,0.6619718309859155,0.5610328638497653,0.5179968701095464,0.528169014084507,0.5352112676056336
72,0.01,896,364,532,,0.9503105590062112,0.8757763975155279,0.8623188405797096,0.8687888198757764,0.8819875776397537
73,0.01,524,47,477,,0.5664335664335665,0.46853146853146854,0.42424242424242414,0.42657342657342656,0.39720279720279716
74,0.01,808,307,501,,0.9049295774647887,0.8802816901408451,0.84507042253521,0.8503521126760564,0.8338028169014103
75,0.01,394,44,350,,0.6417910447761194,0.527363184079602,0.5373134328358208,0.5199004975124378,0.5004975124378109
76,0.01,906,592,314,,0.975609756097561,0.9207317073170732,0.9092140921409207,0.9065040650406504,0.9032520325203264
77,0.01,638,330,308,,0.9444444444444444,0.898989898989899,0.8821548821548817,0.8737373737373737,0.8828282828282834
78,0.01,1843,1216,627,,0.9481132075471698,0.9410377358490566,0.9198113207547162,0.8950471698113207,0.9037735849056608
79,0.01,313,247,66,,0.9512195121951219,0.8658536585365854,0.8821138211382115,0.8932926829268293,0.8682926829268286
80,0.01,1089,747,342,,0.9217877094972067,0.8659217877094972,0.9050279329608937,0.8952513966480447,0.8994413407821226
81,0.01,995,583,412,,0.861244019138756,0.8086124401913876,0.8102073365231253,0.8098086124401914,0.8229665071770333
82,0.01,561,311,250,,0.9291338582677166,0.8858267716535433,0.8530183727034124,0.8759842519685039,0.8645669291338575
83,0.01,919,589,330,,0.9369747899159664,0.9180672268907563,0.8991596638655457,0.8928571428571429,0.8991596638655477
84,0.01,1119,1039,80,,0.9455782312925171,0.9183673469387755,0.9467120181405895,0.9294217687074829,0.9244897959183688
85,0.01,746,545,201,,0.9281767955801105,0.8342541436464088,0.8360957642725603,0.8466850828729282,0.8662983425414363
86,0.01,636,561,75,,0.9574468085106383,0.9175531914893617,0.9024822695035459,0.9148936170212766,0.9106382978723405
87,0.01,722,62,660,,0.602510460251046,0.497907949790795,0.4546722454672244,0.4361924686192469,0.43012552301255264
88,0.01,615,368,247,,0.9251700680272109,0.9149659863945578,0.8866213151927445,0.8741496598639455,0.8843537414965981
89,0.01,1286,794,492,,0.9718875502008032,0.9257028112449799,0.9183400267737613,0.9156626506024096,0.9220883534136559
90,0.01,532,320,212,,0.9663865546218487,0.9369747899159664,0.9439775910364148,0.9327731092436975,0.9310924369747894
91,0.01,702,56,646,,0.5217391304347826,0.4746376811594203,0.47101449275362317,0.46557971014492755,0.455072463768116
92,0.01,1906,934,972,,0.9478260869565217,0.8869565217391304,0.8628019323671499,0.8630434782608696,0.8510144927536258
93,0.01,574,203,371,,0.9090909090909091,0.8181818181818182,0.7979797979797975,0.7929292929292929,0.8080808080808078
94,0.01,504,442,62,,0.9533333333333334,0.9433333333333334,0.9177777777777779,0.9116666666666666,0.9186666666666664
95,0.01,1726,1488,238,,0.9541666666666667,0.8895833333333333,0.8680555555555549,0.8864583333333333,0.8758333333333346
