sample_idx,lambda,num_think_tokens,kept_tokens,dropped_tokens,skip_reason,occupancy@1,occupancy@2,occupancy@3,occupancy@4,occupancy@5
48,0.001,524,230,294,,0.8805970149253731,0.7786069651741293,0.7860696517412935,0.7823383084577115,0.790049751243781
49,0.001,838,389,449,,0.965,0.9075,0.8849999999999996,0.8775,0.8800000000000006
50,0.001,2,,,truncated_max_new_tokens,,,,,
51,0.001,725,719,6,,0.9849056603773585,0.9792452830188679,0.9748427672955972,0.970754716981132,0.9622641509433969
52,0.001,753,513,240,,0.9409448818897638,0.8838582677165354,0.8700787401574794,0.8690944881889764,0.850393700787403
53,0.001,431,395,36,,0.9691358024691358,0.9166666666666666,0.9259259259259256,0.9274691358024691,0.9234567901234569
54,0.001,1774,1320,454,,0.9563106796116505,0.9053398058252428,0.9061488673139151,0.912621359223301,0.8961165048543703
55,0.001,805,478,327,,0.9493087557603687,0.9032258064516129,0.8940092165898609,0.8824884792626728,0.874654377880185
56,0.001,410,238,172,,0.920863309352518,0.8597122302158273,0.8081534772182257,0.814748201438849,0.8129496402877686
57,0.001,734,194,540,,0.962457337883959,0.8754266211604096,0.8657565415244585,0.8728668941979523,0.8552901023890808
58,0.001,1386,1086,300,,0.9531914893617022,0.9106382978723404,0.9092198581560277,0.9,0.9012765957446817
59,0.001,2,,,truncated_max_new_tokens,,,,,
60,0.001,1337,702,635,,0.9221311475409836,0.8975409836065574,0.8920765027322395,0.875,0.8704918032786895
61,0.001,804,217,587,,0.9454022988505747,0.8721264367816092,0.8304597701149419,0.8599137931034483,0.8459770114942556
62,0.001,809,609,200,,0.9490909090909091,0.9218181818181819,0.9018181818181811,0.9209090909090909,0.9141818181818198
63,0.001,1889,1513,376,,0.9133333333333333,0.885,0.8799999999999994,0.8808333333333334,0.8813333333333353
64,0.001,556,547,9,,0.990228013029316,0.9641693811074918,0.9663409337676441,0.9682410423452769,0.9596091205211734
65,0.001,992,939,53,,0.9464285714285714,0.9255952380952381,0.9265873015873012,0.9151785714285714,0.9261904761904765
66,0.001,1387,963,424,,0.9558823529411765,0.913235294117647,0.9098039215686282,0.899264705882353,0.8988235294117669
67,0.001,5104,4195,909,,0.9166666666666666,0.8994252873563219,0.8793103448275861,0.8728448275862069,0.8729885057471287
68,0.001,772,565,207,,0.9733727810650887,0.915680473372781,0.9171597633136092,0.8964497041420119,0.8946745562130201
69,0.001,381,322,59,,0.9605263157894737,0.9210526315789473,0.9057017543859655,0.899671052631579,0.9236842105263152
70,0.001,549,421,128,,0.9712643678160919,0.9540229885057471,0.9252873563218391,0.9367816091954023,0.9241379310344828
71,0.001,463,106,357,,0.6619718309859155,0.5610328638497653,0.5179968701095464,0.528169014084507,0.5352112676056336
72,0.001,896,419,477,,0.9440993788819876,0.8866459627329193,0.87991718426501,0.8788819875776398,0.8906832298136665
73,0.001,524,45,479,,0.6153846153846154,0.534965034965035,0.46620046620046623,0.45454545454545453,0.42517482517482535
74,0.001,808,178,630,,0.852112676056338,0.7640845070422535,0.7523474178403743,0.7491197183098591,0.7225352112676064
75,0.001,394,43,351,,0.5671641791044776,0.49502487562189057,0.5024875621890547,0.4925373134328358,0.46567164179104503
76,0.001,906,595,311,,0.967479674796748,0.9288617886178862,0.9200542005420049,0.9085365853658537,0.9032520325203262
77,0.001,638,291,347,,0.9494949494949495,0.9090909090909091,0.9006734006734003,0.8926767676767676,0.8848484848484851
78,0.001,1843,1239,604,,0.9433962264150944,0.9339622641509434,0.9056603773584898,0.8867924528301887,0.884905660377359
79,0.001,313,250,63,,0.9634146341463414,0.8170731707317073,0.8252032520325199,0.8201219512195121,0.8170731707317066
80,0.001,1089,629,460,,0.8603351955307262,0.7960893854748603,0.8286778398510244,0.8449720670391061,0.8569832402234634
81,0.001,995,771,224,,0.9138755980861244,0.8516746411483254,0.8389154704944173,0.8409090909090909,0.8440191387559811
82,0.001,561,299,262,,0.9212598425196851,0.8937007874015748,0.850393700787402,0.8700787401574803,0.8582677165354322
83,0.001,919,698,221,,0.9201680672268907,0.9117647058823529,0.8977591036414561,0.8991596638655462,0.8915966386554636
84,0.001,1119,816,303,,0.9013605442176871,0.858843537414966,0.8718820861677998,0.8639455782312925,0.865986394557825
85,0.001,746,516,230,,0.9337016574585635,0.8701657458563536,0.8600368324125228,0.8839779005524862,0.8872928176795581
86,0.001,636,513,123,,0.9308510638297872,0.8962765957446809,0.881205673758865,0.898936170212766,0.876595744680851
87,0.001,722,548,174,,0.9288702928870293,0.891213389121339,0.8842398884239879,0.897489539748954,0.8970711297071136
88,0.001,615,391,224,,0.9387755102040817,0.9115646258503401,0.8888888888888892,0.8843537414965986,0.8843537414965978
89,0.001,1286,728,558,,0.9437751004016064,0.8855421686746988,0.8982597054886204,0.8724899598393574,0.8738955823293187
90,0.001,532,281,251,,0.9411764705882353,0.907563025210084,0.8879551820728295,0.9033613445378151,0.9092436974789909
91,0.001,702,49,653,,0.427536231884058,0.42391304347826086,0.42995169082125606,0.4166666666666667,0.40434782608695646
92,0.001,1906,1372,534,,0.9826086956521739,0.9217391304347826,0.9275362318840583,0.9115942028985508,0.9026086956521765
